# CoordinateSystem: PROJCS["CH1903+ / LV95",GEOGCS["CH1903+",DATUM["CH1903+",SPHEROID["Bessel 1841",6377397.155,299.1528128,AUTHORITY["EPSG","7004"]],TOWGS84[674.374,15.056,405.346,0,0,0,0],AUTHORITY["EPSG","6150"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4150"]],PROJECTION["Oblique_Mercator",AUTHORITY["EPSG","9815"]],PARAMETER["latitude_of_center",46.95240555555561],PARAMETER["longitude_of_center",7.439583333333329],PARAMETER["azimuth",90],PARAMETER["recitified_grid_angle",90],PARAMETER["scale_factor",1],PARAMETER["false_easting",2600000],PARAMETER["false_northing",1200000],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","2056"]]
#Label,X/Easting,Y/Northing,Z/Altitude,Yaw,Pitch,Roll,Error_(m),X_error,Y_error,Z_error,Error_(deg),Yaw_error,Pitch_error,Roll_error,X_est,Y_est,Z_est,Yaw_est,Pitch_est,Roll_est
DJI_0229.jpg,2507669.231167,1139184.731503,461.179370,124.258451,-0.231202,-1.065271,0.126482,-0.111059,-0.029806,0.052680,0.222295,0.021010,-0.004142,0.221262,2507669.120111,1139184.701698,461.232050,124.279461,-0.235344,-0.844009
DJI_0230.jpg,2507664.185433,1139188.203595,461.168455,124.358320,-0.066934,-1.019507,0.434061,-0.276302,0.333366,0.030559,0.468106,0.055728,0.460593,-0.062221,2507663.909139,1139188.536952,461.199014,124.414048,0.393659,-1.081728
DJI_0231.jpg,2507659.308446,1139191.419655,461.202630,124.237154,-0.252670,-0.976880,0.384332,-0.330360,0.193275,-0.034910,0.416733,0.094097,0.380929,0.140375,2507658.978095,1139191.612925,461.167720,124.331251,0.128259,-0.836505
DJI_0232.jpg,2507654.500235,1139194.880267,461.253375,124.186599,-0.383455,-1.131191,0.275175,-0.217817,0.147564,-0.080634,0.339357,-0.143143,0.289564,0.104047,2507654.282424,1139195.027827,461.172741,124.043456,-0.093891,-1.027144
DJI_0233.jpg,2507649.657202,1139198.358723,461.187064,124.134021,-0.479325,-1.352669,0.104212,0.056971,0.040357,-0.077367,0.215543,-0.192147,-0.095053,-0.022435,2507649.714172,1139198.399079,461.109697,123.941874,-0.574378,-1.375104
DJI_0234.jpg,2507645.112036,1139201.423798,461.353257,123.839493,-1.872736,-1.438610,0.501374,0.469174,0.161747,-0.071347,0.714500,-0.075190,-0.491720,-0.512902,2507645.581197,1139201.585540,461.281910,123.764303,-2.364456,-1.951512
DJI_0235.jpg,2507640.679800,1139204.614388,461.409892,123.854575,-2.360541,-1.628562,0.994224,-0.055594,0.990673,0.062908,1.393402,-0.029723,0.868860,-1.088930,2507640.624208,1139205.605035,461.472800,123.824852,-1.491681,-2.717492
DJI_0236.jpg,2507636.836294,1139205.120845,346.448733,119.900002,0.099998,-0.000000,,,,,,,,,,,,,,
DJI_0237.jpg,2507637.445713,1139200.047882,461.233408,123.753636,-2.503224,-2.324632,0.092546,-0.011634,0.044765,0.080159,0.059765,0.054349,0.024392,0.004798,2507637.434080,1139200.092646,461.313567,123.807985,-2.478832,-2.319834
DJI_0238.jpg,2507634.212293,1139195.350054,461.211663,123.729607,-2.456505,-2.725463,0.470743,0.381641,-0.273848,0.030924,0.739540,0.008965,-0.734728,0.083750,2507634.593924,1139195.076213,461.242587,123.738572,-3.191233,-2.641713
DJI_0239.jpg,2507635.070491,1139195.702455,460.964218,123.723348,-3.141802,-2.493887,0.466268,0.041087,0.452330,0.105429,0.610683,-0.016084,0.309993,-0.525908,2507635.111577,1139196.154773,461.069647,123.707264,-2.831809,-3.019795
DJI_0240.jpg,2507640.111337,1139191.856732,460.819250,123.868594,-2.331281,-1.918891,0.803637,0.397331,0.692451,0.092041,1.091255,-0.181028,0.066712,-1.074065,2507640.508657,1139192.549164,460.911291,123.687566,-2.264569,-2.992956
DJI_0241.jpg,2507644.697298,1139188.638038,460.662804,124.123562,-1.585687,-1.485613,0.891775,0.857507,0.224241,0.098286,1.286716,-0.391451,-0.841099,-0.891604,2507645.554783,1139188.862273,460.761090,123.732111,-2.426786,-2.377217
